lat,lng,pop
42.8262,-82.493,5335
42.6493,-83.2878,59792
44.244,-86.3242,9422
42.5092,-84.653,5388
43.1267,-85.5582,6264
42.9775,-85.0725,14148
42.2985,-85.2296,76803
42.4366,-82.8987,15560
42.7142,-84.56,320928
42.2047,-83.2057,29084
41.9474,-86.3402,7125
41.8346,-86.2473,11208
43.4082,-84.6118,7298
42.5809,-83.0305,132631
42.9147,-83.5092,5821
42.2617,-84.9598,7582
42.9259,-83.6182,7889
43.4003,-86.3405,10690
42.6735,-83.2447,23296
42.9351,-85.3457,7359
42.3244,-83.3412,26650
42.3794,-82.9288,11125
43.38,-84.6556,16224
42.2113,-83.1558,24977
42.5244,-83.5346,13831
43.0006,-84.5556,8448
42.9822,-82.4387,83841
42.2595,-83.2107,27156
42.8696,-84.899,5070
42.587,-83.6012,6471
42.4575,-85.6979,11858
43.0236,-83.6922,335354
42.9083,-82.4806,9706
42.3127,-83.2129,94491
41.8004,-85.4181,12837
42.9003,-85.7564,15970
42.2935,-83.3148,24453
42.8093,-82.7517,6319
42.4805,-83.0274,8273
42.5818,-83.1457,83813
42.4934,-83.027,135022
42.5806,-84.4427,8409
42.1728,-83.1935,12107
42.8139,-86.0129,5559
42.4986,-83.1853,15331
42.226,-83.2688,61276
42.1737,-83.7782,9291
43.6239,-84.2315,59138
47.2351,-88.4382,7155
43.1797,-85.2533,9696
42.2489,-83.1399,9226
42.5976,-82.882,16312
42.3834,-83.1024,3522206
41.8994,-84.0446,43877
42.9858,-85.7442,24822
42.3132,-84.0188,5615
42.4765,-83.2605,73208
42.9974,-83.6175,28643
46.4522,-90.1505,6582
42.1159,-86.4488,59939
42.0816,-83.6854,7787
42.4067,-82.8992,9158
42.2,-85.5906,48816
42.3164,-83.2769,55758
42.3246,-85.2371,5197
42.486,-83.3771,81050
45.8277,-88.0604,18568
42.4592,-83.1314,20070
41.9266,-84.6356,11416
42.3719,-83.468,9138
42.132,-83.2374,12486
42.5084,-83.1539,59112
41.89,-71.3933,19359
41.8229,-71.4186,1206642
41.7062,-71.4334,80871
41.7658,-71.4858,81202
41.8063,-71.3565,47600
41.4803,-71.3205,24942
42.001,-71.4993,41759
41.8743,-71.3743,72001
37.8102,-97.3255,7729
37.0726,-97.0385,12449
38.6,-95.2642,12147
37.8208,-96.8614,14692
37.5772,-101.3547,6025
37.9273,-95.4006,5377
37.4787,-97.2726,6359
39.1342,-94.9324,5017
37.8333,-97.3646,7300
38.887,-94.687,191278
39.3233,-94.9244,46517
39.2427,-94.8952,11947
39.0272,-96.8497,38178
39.0358,-94.6374,6772
38.8162,-94.93,21583
38.7564,-94.8201,6635
38.9875,-94.6361,22368
37.6777,-98.7465,6462
38.3714,-97.6606,13128
38.3593,-98.8015,15519
37.0466,-100.9295,19636
37.4129,-94.6987,22899
38.0364,-97.3463,20370
38.9609,-94.8018,53553
37.8283,-94.7038,7628
37.3405,-95.2959,9572
37.274,-96.9499,11836
38.4028,-96.1924,24639
38.9687,-94.9548,5019
38.5784,-94.8619,5378
39.5669,-97.6466,5047
39.0817,-94.8776,7784
38.923,-97.2251,6575
39.0346,-95.6956,148960
38.0671,-97.9081,42940
39.0158,-94.8076,65513
37.2122,-95.7324,9166
37.6697,-95.4619,8994
37.761,-100.0182,27696
37.6868,-97.1353,13111
38.8814,-99.3217,21525
38.9344,-95.0957,6333
37.2622,-97.4282,7450
37.052,-95.6178,10046
37.9755,-100.8529,30206
39.1083,-95.0829,5384
39.1234,-94.7443,152938
37.6955,-96.9921,9466
38.9076,-94.6258,34659
39.3842,-101.0461,5436
39.5627,-95.137,10775
37.565,-97.3528,11278
38.8137,-97.6143,46782
38.9597,-95.2641,97341
39.0186,-94.6934,11212
38.8838,-94.8196,137472
39.1882,-96.6053,57284
37.6897,-97.3442,483057
37.5571,-97.2552,23673
39.027,-94.6568,9409
46.2527,-114.1598,6722
45.902,-112.6571,30628
45.7796,-111.1751,15975
48.2155,-114.3262,37024
47.5022,-111.2995,65624
45.7889,-108.5503,120800
47.1102,-104.707,6719
46.4059,-105.8385,9686
47.0514,-109.4524,6108
48.5428,-109.6805,10148
46.5964,-112.0197,50227
46.8685,-114.0094,90218
47.7152,-104.168,6628
48.4332,-114.3592,7540
45.6828,-111.0548,53949
45.6735,-108.7707,8596
48.3708,-114.1903,6886
47.6896,-114.1429,5174
45.6667,-110.5538,8735
31.2564,-89.8266,6689
34.3147,-89.9249,7091
32.3359,-90.0802,9061
31.9903,-90.354,5069
30.3791,-89.3707,7525
31.3072,-89.3168,81036
34.1971,-90.5729,15574
30.4082,-88.7861,17682
32.5976,-90.0315,14781
33.6064,-88.6571,8660
30.3281,-89.3774,13043
34.6643,-88.5684,6015
34.3609,-89.5286,32203
31.5803,-90.4432,10346
32.8618,-90.4067,14978
31.3477,-89.2359,10633
34.9514,-89.9787,54031
34.7768,-89.4466,6098
33.0585,-89.5893,6501
32.354,-90.3403,25154
33.4492,-90.6447,9190
32.7761,-89.1221,7545
33.4608,-88.8297,32164
33.9813,-88.4823,6245
31.5437,-91.3867,26579
34.2532,-89.0091,5193
30.4422,-88.9512,45908
30.3665,-88.5507,48946
34.4909,-89.0201,7229
30.4271,-89.0703,221348
32.3163,-90.2124,338185
32.273,-90.0918,26534
32.3173,-90.8868,27357
34.6081,-89.9762,6293
33.744,-90.7285,14950
31.6956,-89.1448,26063
30.293,-89.3904,6354
32.2309,-90.1592,7220
34.9512,-90.0501,27095
33.5126,-90.1993,20601
32.4236,-90.1481,24266
31.2449,-90.4714,16398
30.3608,-89.165,15642
32.2778,-89.9896,23999
32.3846,-88.6897,38294
33.5088,-88.4097,31701
32.4738,-90.13,25627
33.385,-91.0514,31243
30.5289,-89.6788,16026
30.4545,-88.8982,11610
30.4106,-88.6568,18512
33.7816,-89.813,10016
30.327,-89.2436,5878
34.8496,-89.992,15981
30.424,-88.5289,13398
32.189,-90.2861,11671
34.9474,-88.5143,12528
34.9608,-89.8478,37435
34.2691,-88.7318,45231
35.1124,-81.2202,7780
34.037,-80.9042,566166
33.8676,-79.7533,8489
32.295,-81.0324,5977
34.9346,-82.2333,30899
34.423,-79.369,9281
32.8533,-79.8269,86668
33.6664,-79.8292,5670
32.9922,-80.0052,42619
33.0005,-80.1788,50388
34.5019,-82.021,10051
33.9866,-81.222,21265
34.3679,-80.0829,14856
32.2135,-80.9316,21085
34.1015,-81.1953,12250
34.2043,-79.2535,5185
35.0742,-81.6558,21460
35.0062,-80.9388,17557
32.1896,-80.7499,74500
34.2564,-80.6085,14200
34.4774,-81.864,11193
33.9123,-81.5313,5281
32.9005,-80.6752,9013
32.7523,-80.2107,5179
33.4928,-80.8671,31085
32.8137,-79.9643,616085
33.5303,-81.727,30721
33.9392,-80.393,72131
34.5238,-82.4937,5753
34.2822,-81.6012,12074
33.7096,-78.8843,260487
34.7235,-81.6248,9348
34.9968,-81.2348,8351
33.8228,-78.7093,16310
33.9458,-81.0432,14086
34.6838,-82.8124,16649
33.1715,-80.0122,10933
34.1787,-79.3965,6961
34.3015,-79.8672,5999
34.5212,-82.6479,77426
34.7234,-82.7789,5179
33.9925,-81.0919,17265
32.4487,-80.7103,54207
32.9086,-80.0705,110861
33.8404,-79.0419,23714
34.6303,-79.6874,11527
34.7293,-82.2571,22072
33.3594,-79.2959,11913
34.6962,-79.9029,7864
34.9437,-81.9257,183184
34.1944,-82.1543,42174
32.4681,-80.9178,5341
32.9303,-80.0031,24885
34.9413,-81.025,115963
34.705,-81.2132,9039
34.6816,-82.9609,26818
32.3579,-80.7047,12886
34.8363,-82.365,467894
34.6991,-82.1994,8688
34.0322,-80.9717,10380
34.1787,-82.3774,5088
33.5213,-81.9548,22930
35.039,-81.0112,10339
34.1785,-79.7857,91311
34.7247,-80.7802,25247
34.7864,-82.2996,132402
34.9684,-82.4417,5108
34.819,-82.5828,21053
36.932,-84.1003,7272
38.9472,-84.6731,5895
38.2052,-85.57,27395
39.0092,-84.4988,6765
37.8205,-85.9366,22576
38.0014,-84.1907,25996
36.9721,-86.4367,90448
37.0815,-84.6089,29633
37.1036,-85.3074,5019
37.4044,-86.8742,6633
39.0804,-84.4497,16263
38.3317,-82.9371,5420
37.7241,-84.2928,40111
38.1662,-85.6488,1011696
38.241,-85.5216,7914
36.8381,-87.4777,31681
37.8786,-84.6545,9478
37.5685,-85.258,5759
37.0048,-85.9262,13891
39.0459,-84.5563,8248
39.0855,-84.4869,15033
37.1464,-83.7635,5028
36.8667,-83.885,6178
39.0334,-84.5166,40455
36.8404,-84.8506,6634
38.68,-85.1655,5029
37.7654,-84.8474,8770
37.9806,-85.6999,12260
38.521,-82.7194,7177
38.1924,-84.8644,38664
37.7575,-87.1172,73173
37.3446,-85.3512,14686
39.0131,-84.435,6370
39.0354,-84.4567,7100
38.0488,-84.726,17250
37.813,-85.9827,6093
37.642,-84.7769,19489
39.0091,-84.5604,8720
38.1906,-83.4466,8229
39.0108,-84.5862,18840
38.2015,-84.2717,12662
37.8167,-82.8089,7113
37.8405,-87.5788,28657
38.2644,-85.5891,11485
37.0711,-88.6436,48629
38.0423,-84.4587,315939
36.6686,-87.4216,7266
38.2059,-85.2305,23305
37.89,-84.567,30600
38.3987,-85.375,8877
37.4863,-86.2857,6994
37.1068,-87.8853,5684
39.0462,-84.5362,5729
36.7361,-88.6448,11155
38.9949,-84.6017,8644
38.2253,-84.5481,35586
38.4592,-82.6449,20669
38.0554,-85.6847,9076
37.341,-87.5033,24144
38.0647,-83.9473,11328
36.7392,-84.1647,6009
39.101,-84.4776,5772
39.0638,-84.5947,7437
38.9622,-84.386,9438
38.0332,-84.9032,13439
37.1209,-84.0804,37424
38.951,-84.5492,27634
37.8175,-85.4551,21044
38.0429,-85.555,14554
37.4808,-82.5261,7685
37.703,-85.8772,77317
37.2583,-83.1977,8502
38.3854,-84.2996,6389
38.197,-85.8136,15800
39.1127,-84.4639,5449
36.8393,-86.895,6823
36.8432,-83.3184,6280
36.7163,-86.5587,9861
36.6145,-88.3206,20639
37.5904,-84.2898,17929
38.99,-84.647,32305
38.2495,-85.6382,18139
37.2962,-87.128,9605
37.6795,-82.7641,6300
38.2367,-85.5501,5728
38.6454,-83.7911,11185
37.6869,-87.8885,5496
45.8572,-122.8163,27278
44.6385,-121.1264,9059
43.3789,-124.233,32030
43.4075,-124.2364,9702
45.4383,-122.5142,21196
42.3372,-122.8537,168219
44.8551,-123.1948,10053
45.5245,-123.1102,24141
45.3986,-122.269,11595
45.3071,-122.9598,28886
42.2192,-121.7755,42463
45.9128,-119.3144,7132
45.6747,-118.8172,17282
45.1502,-122.5844,9950
44.2068,-123.2097,6749
44.4023,-122.7028,10306
44.2988,-120.8594,11850
44.5314,-122.9075,21474
45.211,-123.1918,41583
45.3772,-122.7746,27478
45.003,-122.7808,10750
45.4299,-122.4461,11155
43.3884,-123.3232,8891
45.2653,-122.6866,19206
45.4129,-122.7002,39196
44.0259,-116.976,24738
45.0955,-123.397,8446
42.3765,-122.9109,18234
44.0562,-121.3087,103349
45.9348,-118.3913,7027
44.7749,-117.832,9473
44.0471,-123.3514,6575
43.9212,-123.016,6752
44.2631,-121.1798,31695
45.9889,-123.9214,8817
44.6231,-124.0524,11862
45.3864,-122.5933,12207
45.3243,-118.0865,15013
46.1685,-123.9302,5602
42.4333,-123.3317,54973
43.7961,-123.0573,11556
45.5189,-123.0516,12493
